Protocol,Packet Length,Source MAC,Destination MAC,Source IP,Destination IP,Ethernet Type,Device Category
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,735,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,869,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,1514,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,735,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,237,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,3.93.209.69,10.0.5.220,0x0800,Computer
TLS,1468,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,44.209.20.155,0x0800,Smart Home
TLS,589,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,1514,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TLS,1454,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,281,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,589,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,1032,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,44.209.20.155,0x0800,Smart Home
TLS,192,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,816,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,332,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,302,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,612,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,302,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,596,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,753,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TLS,100,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,44.209.20.155,0x0800,Smart Home
TLS,599,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,481,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,303,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,276,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TLS,1049,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,284,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TLS,1117,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TLS,100,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,44.209.20.155,10.0.5.220,0x0800,Computer
TLS,911,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,44.209.20.155,0x0800,Smart Home
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
TPLINK-SMARTHOME,189,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
_WS.MALFORMED,46,36:cd:80:d9:58:3d,01:00:5e:00:00:fb,10.0.5.220,224.0.0.251,0x0800,Smart Home
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
_WS.MALFORMED,46,36:cd:80:d9:58:3d,01:00:5e:00:00:fb,10.0.5.220,224.0.0.251,0x0800,Smart Home
TPLINK-SMARTHOME,189,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
DATA,543,36:cd:80:d9:58:3d,ff:ff:ff:ff:ff:ff,10.0.5.220,255.255.255.255,0x0800,Smart Home
EAPOL,113,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,Unknown,Unknown,0x888e,Computer
EAPOL,135,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,Unknown,Unknown,0x888e,Smart Home
EAPOL,169,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,Unknown,Unknown,0x888e,Computer
EAPOL,113,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,Unknown,Unknown,0x888e,Smart Home
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
DHCP,350,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,0x0800,Smart Home
DHCP,342,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,10.0.5.1,10.0.5.86,0x0800,Computer
DHCP,350,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,0x0800,Smart Home
DHCP,342,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,10.0.5.1,10.0.5.86,0x0800,Computer
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
ARP,42,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,Unknown,Unknown,0x0806,Computer
DNS,86,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,10.0.5.1,0x0800,Smart Home
DNS,148,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,10.0.5.1,10.0.5.86,0x0800,Computer
TCP,58,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,58,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TLS,221,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TLS,1514,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TCP,1514,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TLS,211,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TLS,321,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TLS,145,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TLS,145,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TLS,619,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TLS,235,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
DNS,82,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,10.0.5.1,0x0800,Smart Home
DNS,236,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,10.0.5.1,10.0.5.86,0x0800,Computer
TCP,58,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TLS,123,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,52.3.95.82,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,58,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,52.3.95.82,0x0800,Smart Home
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TLS,217,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,1514,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TCP,1514,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TLS,211,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TLS,321,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,145,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,145,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,571,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
ARP,42,6c:5a:b0:e6:03:cd,ff:ff:ff:ff:ff:ff,Unknown,Unknown,0x0806,Smart Home
DNS,72,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,10.0.5.1,0x0800,Smart Home
DNS,136,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,10.0.5.1,10.0.5.86,0x0800,Computer
TLS,187,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,304,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,262,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,3.93.209.69,10.0.5.220,0x0800,Computer
NTP,90,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,216.240.36.24,0x0800,Smart Home
TLS,267,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TLS,203,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
NTP,90,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,216.240.36.24,10.0.5.86,0x0800,Computer
TCP,262,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,3.93.209.69,10.0.5.220,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,203,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TCP,54,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,304,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TLS,97,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,911,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,78,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
TCP,78,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,3.93.209.69,0x0800,Smart Home
TLS,97,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,66,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TLS,219,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,1147,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,78,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.72.179.74,10.0.5.220,0x0800,Computer
TCP,54,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.72.179.74,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,347,6c:5a:b0:e6:03:cd,b8:27:eb:59:60:d1,10.0.5.86,54.158.194.4,0x0800,Smart Home
TCP,54,b8:27:eb:59:60:d1,6c:5a:b0:e6:03:cd,54.158.194.4,10.0.5.86,0x0800,Computer
TLS,1488,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,52.4.140.83,10.0.5.220,0x0800,Computer
TCP,66,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,10.0.5.220,52.4.140.83,0x0800,Smart Home
